id;title;image;approval;description;weights;review_ready
83;Braveheart;/content/images/movies/83.jpg;100;When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.;[];false
84;Star Wars: Episode VI - Return of the Jedi;/content/images/movies/84.jpg;100;After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader return from the dark side of the Force.;[];false
85;Double Indemnity;/content/images/movies/85.jpg;100;An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.;[];false
86;Requiem for a Dream;/content/images/movies/86.jpg;100;The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.;[];false
87;Reservoir Dogs;/content/images/movies/87.jpg;100;After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.;[];false
88;Lawrence of Arabia;/content/images/movies/88.jpg;100;The story of TE Lawrence, the English officer who successfully united and lead the diverse, often warring, Arab tribes during World War 1 in order to fight the Turks.;[];false
89;To Kill a Mockingbird;/content/images/movies/89.jpg;100;Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his kids against prejudice.;[];false
90;A Clockwork Orange;/content/images/movies/90.jpg;100;In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.;[];false
91;The Kid;/content/images/movies/91.jpg;100;The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;[];false
92;Eternal Sunshine of the Spotless Mind;/content/images/movies/92.jpg;100;When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.;[];false
93;Bicycle Thieves;/content/images/movies/93.jpg;100;Set in Post-WWII Italy, a working class man's bicycle is stolen. He and his son set out to find it.;[];false
94;Toy Story 3;/content/images/movies/94.jpg;100;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.;[];false
95;Taxi Driver;/content/images/movies/95.jpg;100;A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.;[];false
96;Amadeus;/content/images/movies/96.jpg;100;The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.;[];false
97;Singin' in the Rain;/content/images/movies/97.jpg;100;A silent film production company and cast make a difficult transition to sound.;[];false
98;The Sting;/content/images/movies/98.jpg;100;In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.;[];false
99;Yojimbo;/content/images/movies/99.jpg;100;A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.;[];false
100;All About Eve;/content/images/movies/100.jpg;100;An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.;[];false
101;Full Metal Jacket;/content/images/movies/101.jpg;100;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;[];false
102;2001: A Space Odyssey;/content/images/movies/102.jpg;100;Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.;[];false
Blog  
